Netherlands_index,z_index_index,ATC_match,best_z_index_index
96,6193,True,45209
96,8467,True,45209
96,17591,True,45209
96,46913,True,45209
96,58294,True,45209
96,58295,True,45209
96,60200,True,45209
96,65533,True,45209
96,67854,True,45209
97,854,True,33510
97,855,True,33510
97,3718,True,33510
97,4623,True,33510
97,4625,True,33510
97,15129,True,33510
97,15130,True,33510
98,20681,True,
98,23220,True,
98,29034,True,
98,29844,True,
98,30387,True,
98,31648,True,
98,31649,True,
98,31650,True,
98,31651,True,
98,31652,True,
98,31653,True,
98,31654,True,
98,31655,True,
98,34215,True,
98,35329,True,
98,36256,True,
98,40527,True,
98,65066,True,
98,65460,True,
98,65780,True,
98,70918,True,
99,29088,True,136913
99,32479,True,136913
99,52938,True,136913
100,72994,True,231452
101,12457,True,85448
101,18141,True,85448
102,3778,True,67652
102,3779,True,67652
103,3549,True,67261
103,3810,True,67261
103,9652,True,67261
104,598,True,123315
104,599,True,123315
104,23980,True,123315
104,24470,True,123315
104,30661,True,123315
104,30797,True,123315
104,52226,True,123315
104,69852,True,123315
105,18067,True,76767
105,18068,True,76767
105,18069,True,76767
106,897,True,45624
106,898,True,45624
106,899,True,45624
106,1336,True,45624
106,1337,True,45624
106,1338,True,45624
106,4823,True,45624
107,3216,True,78948
107,8796,True,78948
107,11699,True,78948
107,11700,True,78948
107,15478,True,78948
107,15479,True,78948
107,15480,True,78948
107,18549,True,78948
107,23655,True,78948
107,25015,True,78948
108,483,True,21830
108,700,True,21830
108,701,True,21830
108,1387,True,21830
108,6608,True,21830
108,6609,True,21830
108,6612,True,21830
108,28704,True,21830
109,374,True,3158
109,478,True,3158
109,479,True,3158
109,480,True,3158
109,1035,True,3158
109,1036,True,3158
109,3806,True,3158
109,7621,True,3158
109,16300,True,3158
109,16301,True,3158
109,16302,True,3158
109,22422,True,3158
109,28023,True,3158
109,32916,True,3158
109,32918,True,3158
109,50754,True,3158
110,1062,True,42234
112,4596,True,120928
112,4691,True,120928
112,13270,True,120928
112,19190,True,120928
112,19191,True,120928
112,22691,True,120928
112,22693,True,120928
112,22694,True,120928
112,22695,True,120928
112,22696,True,120928
112,22697,True,120928
112,22698,True,120928
112,22699,True,120928
112,22752,True,120928
112,24450,True,120928
112,25387,True,120928
112,25388,True,120928
112,25884,True,120928
112,28108,True,120928
112,28109,True,120928
112,28341,True,120928
112,28521,True,120928
112,28522,True,120928
112,28523,True,120928
112,28524,True,120928
112,36983,True,120928
112,44178,True,120928
112,48534,True,120928
112,68315,True,120928
112,68317,True,120928
113,948,True,
113,1253,True,
113,4366,True,
113,4385,True,
113,6083,True,
113,33544,True,
113,34602,True,
114,642,True,219789
114,919,True,219789
114,8466,True,219789
115,2981,True,58386
115,2982,True,58386
115,2983,True,58386
115,6551,True,58386
115,21891,True,58386
115,25041,True,58386
116,4617,True,
116,28029,True,
116,41401,True,
116,42431,True,
116,42432,True,
116,62869,True,
117,13396,True,93963
117,13397,True,93963
117,22094,True,93963
118,1614,True,5304
118,6124,True,5304
118,11733,True,5304
118,11735,True,5304
118,21999,True,5304
118,23203,True,5304
118,27722,True,5304
118,29132,True,5304
118,29133,True,5304
118,35742,True,5304
118,35743,True,5304
118,49026,True,5304
118,49027,True,5304
118,49028,True,5304
118,49062,True,5304
118,49222,True,5304
118,49236,True,5304
118,49237,True,5304
118,49611,True,5304
118,49612,True,5304
118,49613,True,5304
118,49614,True,5304
118,52233,True,5304
118,53141,True,5304
118,53145,True,5304
118,53147,True,5304
118,54040,True,5304
118,54597,True,5304
118,54598,True,5304
118,54946,True,5304
118,55323,True,5304
118,59373,True,5304
118,60573,True,5304
118,62883,True,5304
118,63011,True,5304
118,63074,True,5304
118,63931,True,5304
118,64436,True,5304
118,64437,True,5304
118,65508,True,5304
118,65656,True,5304
118,65858,True,5304
118,69231,True,5304
118,69232,True,5304
118,69288,True,5304
119,9127,True,77119
119,9128,True,77119
119,14750,True,77119
120,352,True,
120,361,True,
120,4601,True,
120,4845,True,
120,16251,True,
120,16252,True,
120,20695,True,
120,20702,True,
120,20987,True,
120,20988,True,
120,21137,True,
120,26215,True,
120,27935,True,
120,35389,True,
120,35390,True,
120,35391,True,
120,36610,True,
120,39152,True,
120,41474,True,
120,41488,True,
120,52018,True,
120,52020,True,
120,55903,True,
120,57696,True,
120,62865,True,
120,64687,True,
121,24775,True,222798
121,24776,True,222798
121,24777,True,222798
121,25026,True,222798
121,55730,True,222798
121,71578,True,222798
122,297,True,82244
