Italy_index,z_index_index,ATC_match,best_z_index_index
175,28909,True,
175,28918,True,
175,28927,True,
175,30884,True,
175,30893,True,
175,30902,True,
175,30911,True,
175,30920,True,
175,31660,True,
175,31669,True,
175,31678,True,
175,31687,True,
175,33265,True,
175,36643,True,
175,36652,True,
175,36661,True,
176,1779,True,31917
176,1780,True,31917
176,1781,True,31917
176,2419,True,31917
176,2420,True,31917
177,1779,True,49603
177,1780,True,49603
177,1781,True,49603
177,2419,True,49603
177,2420,True,49603
178,1779,True,31925
178,1780,True,31925
178,1781,True,31925
178,2419,True,31925
178,2420,True,31925
179,1779,True,31917
179,1780,True,31917
179,1781,True,31917
179,2419,True,31917
179,2420,True,31917
180,1779,True,31925
180,1780,True,31925
180,1781,True,31925
180,2419,True,31925
180,2420,True,31925
181,1779,True,31917
181,1780,True,31917
181,1781,True,31917
181,2419,True,31917
181,2420,True,31917
182,1779,True,
182,1780,True,
182,1781,True,
182,2419,True,
182,2420,True,
183,1779,True,49603
183,1780,True,49603
183,1781,True,49603
183,2419,True,49603
183,2420,True,49603
184,1779,True,49603
184,1780,True,49603
184,1781,True,49603
184,2419,True,49603
184,2420,True,49603
185,1779,True,31925
185,1780,True,31925
185,1781,True,31925
185,2419,True,31925
185,2420,True,31925
186,1779,True,
186,1780,True,
186,1781,True,
186,2419,True,
186,2420,True,
187,20901,True,
188,1835,True,
188,1872,True,
188,18070,True,
188,18071,True,
188,18072,True,
188,18073,True,
188,71517,True,
189,1835,True,32158
189,1872,True,32158
189,18070,True,32158
189,18071,True,32158
189,18072,True,32158
189,18073,True,32158
189,71517,True,32158
190,1835,True,40452
190,1872,True,40452
190,18070,True,40452
190,18071,True,40452
190,18072,True,40452
190,18073,True,40452
190,71517,True,40452
191,1835,True,
191,1872,True,
191,18070,True,
191,18071,True,
191,18072,True,
191,18073,True,
191,71517,True,
192,9715,True,86797
192,9716,True,86797
193,9715,True,86800
193,9716,True,86800
196,3635,True,51772
196,50758,True,51772
197,3635,True,
