Spain_index,z_index_index,ATC_match,best_z_index_index
629,25041,True,80926
631,6411,True,75256
631,12945,True,75256
631,22000,True,75256
631,22001,True,75256
631,23243,True,75256
631,28670,True,75256
631,28671,True,75256
631,28839,True,75256
631,29129,True,75256
631,30478,True,75256
631,36879,True,75256
631,60608,True,75256
631,64839,True,75256
633,7032,True,
633,9089,True,
633,9090,True,
633,9091,True,
633,21900,True,
633,21901,True,
633,21902,True,
633,26665,True,
633,28754,True,
634,2631,True,71323
634,2826,True,71323
634,3531,True,71323
634,13283,True,71323
634,16248,True,71323
636,708,True,
636,991,True,
636,3644,True,
636,3646,True,
636,4200,True,
636,4201,True,
636,4202,True,
636,6607,True,
636,45481,True,
636,45482,True,
636,46669,True,
647,268,True,
647,575,True,
647,921,True,
647,922,True,
647,923,True,
647,924,True,
647,925,True,
647,1412,True,
647,2383,True,
647,3891,True,
647,9980,True,
647,16296,True,
647,24471,True,
647,48255,True,
648,6654,True,5509
648,14459,True,5509
648,14461,True,5509
648,56117,True,5509
648,61137,True,5509
648,61138,True,5509
648,64589,True,5509
648,66340,True,5509
650,5917,True,
651,11263,True,71293
651,11298,True,71293
651,49337,True,71293
652,16267,True,90018
653,1327,True,96148
653,1328,True,96148
653,1329,True,96148
653,2741,True,96148
653,10699,True,96148
653,10701,True,96148
653,11659,True,96148
653,17661,True,96148
653,19154,True,96148
653,20962,True,96148
653,24303,True,96148
653,25027,True,96148
653,25028,True,96148
653,25029,True,96148
653,43427,True,96148
653,47224,True,96148
653,47794,True,96148
653,50520,True,96148
653,51554,True,96148
653,62819,True,96148
653,62853,True,96148
653,63280,True,96148
654,1327,True,96156
654,1328,True,96156
654,1329,True,96156
654,2741,True,96156
654,10699,True,96156
654,10701,True,96156
654,11659,True,96156
654,17661,True,96156
654,19154,True,96156
654,20962,True,96156
654,24303,True,96156
654,25027,True,96156
654,25028,True,96156
654,25029,True,96156
654,43427,True,96156
654,47224,True,96156
654,47794,True,96156
654,50520,True,96156
654,51554,True,96156
654,62819,True,96156
654,62853,True,96156
654,63280,True,96156
655,1327,True,96164
655,1328,True,96164
655,1329,True,96164
655,2741,True,96164
655,10699,True,96164
655,10701,True,96164
655,11659,True,96164
655,17661,True,96164
655,19154,True,96164
655,20962,True,96164
655,24303,True,96164
655,25027,True,96164
655,25028,True,96164
655,25029,True,96164
655,43427,True,96164
655,47224,True,96164
655,47794,True,96164
655,50520,True,96164
655,51554,True,96164
655,62819,True,96164
655,62853,True,96164
655,63280,True,96164
656,1327,True,96172
656,1328,True,96172
656,1329,True,96172
656,2741,True,96172
656,10699,True,96172
656,10701,True,96172
656,11659,True,96172
656,17661,True,96172
656,19154,True,96172
656,20962,True,96172
656,24303,True,96172
656,25027,True,96172
656,25028,True,96172
656,25029,True,96172
656,43427,True,96172
656,47224,True,96172
656,47794,True,96172
656,50520,True,96172
656,51554,True,96172
656,62819,True,96172
656,62853,True,96172
656,63280,True,96172
657,35338,True,
657,35339,True,
