Sweden_index,z_index_index,ATC_match,best_z_index_index
62,3201,True,223786
62,24300,True,223786
62,52439,True,223786
62,52440,True,223786
62,62780,True,223786
62,64383,True,223786
62,64396,True,223786
63,1740,True,41858
63,3188,True,41858
63,3201,True,41858
63,24300,True,41858
63,52439,True,41858
63,52440,True,41858
63,62780,True,41858
63,64383,True,41858
63,64396,True,41858
64,1740,True,223794
64,3188,True,223794
64,3201,True,223794
64,24300,True,223794
64,52439,True,223794
64,52440,True,223794
64,62780,True,223794
64,64383,True,223794
64,64396,True,223794
65,5179,True,39039
66,5179,True,39039
67,5179,True,39039
68,466,True,40010
68,659,True,40010
68,928,True,40010
68,1189,True,40010
68,3166,True,40010
68,5059,True,40010
68,6602,True,40010
68,19939,True,40010
68,22114,True,40010
68,23136,True,40010
68,60604,True,40010
69,466,True,40010
69,659,True,40010
69,928,True,40010
69,1189,True,40010
69,3166,True,40010
69,5059,True,40010
69,6602,True,40010
69,19939,True,40010
69,22114,True,40010
69,23136,True,40010
69,60604,True,40010
70,466,True,40010
70,659,True,40010
70,928,True,40010
70,1189,True,40010
70,3166,True,40010
70,5059,True,40010
70,6602,True,40010
70,19939,True,40010
70,22114,True,40010
70,23136,True,40010
70,60604,True,40010
71,466,True,40010
71,659,True,40010
71,928,True,40010
71,1189,True,40010
71,3166,True,40010
71,5059,True,40010
71,6602,True,40010
71,19939,True,40010
71,22114,True,40010
71,23136,True,40010
71,60604,True,40010
72,466,True,40010
72,659,True,40010
72,928,True,40010
72,1189,True,40010
72,3166,True,40010
72,5059,True,40010
72,6602,True,40010
72,19939,True,40010
72,22114,True,40010
72,23136,True,40010
72,60604,True,40010
73,466,True,40010
73,659,True,40010
73,928,True,40010
73,1189,True,40010
73,3166,True,40010
73,5059,True,40010
73,6602,True,40010
73,19939,True,40010
73,22114,True,40010
73,23136,True,40010
73,60604,True,40010
74,553,True,58017
74,2178,True,58017
74,2369,True,58017
74,2386,True,58017
74,3636,True,58017
74,6065,True,58017
74,25860,True,58017
74,42703,True,58017
74,46734,True,58017
74,54579,True,58017
74,69955,True,58017
74,71105,True,58017
75,553,True,56022
75,2178,True,56022
75,2369,True,56022
75,2386,True,56022
75,3636,True,56022
75,6065,True,56022
75,25860,True,56022
75,42703,True,56022
75,46734,True,56022
75,54579,True,56022
75,69955,True,56022
75,71105,True,56022
76,553,True,58017
76,2178,True,58017
76,2369,True,58017
76,2386,True,58017
76,3636,True,58017
76,6065,True,58017
76,25860,True,58017
76,42703,True,58017
76,46734,True,58017
76,54579,True,58017
76,69955,True,58017
76,71105,True,58017
77,553,True,56022
77,2178,True,56022
77,2369,True,56022
77,2386,True,56022
77,3636,True,56022
77,6065,True,56022
77,25860,True,56022
77,42703,True,56022
77,46734,True,56022
77,54579,True,56022
77,69955,True,56022
77,71105,True,56022
78,553,True,58017
78,2178,True,58017
78,2369,True,58017
78,2386,True,58017
78,3636,True,58017
78,6065,True,58017
78,25860,True,58017
78,42703,True,58017
78,46734,True,58017
78,54579,True,58017
78,69955,True,58017
78,71105,True,58017
79,553,True,58017
79,2178,True,58017
79,2369,True,58017
79,2386,True,58017
79,3636,True,58017
79,6065,True,58017
79,25860,True,58017
79,42703,True,58017
79,46734,True,58017
79,54579,True,58017
79,69955,True,58017
79,71105,True,58017
80,553,True,58017
80,2178,True,58017
80,2369,True,58017
80,2386,True,58017
80,3636,True,58017
80,6065,True,58017
80,25860,True,58017
80,42703,True,58017
80,46734,True,58017
80,54579,True,58017
80,69955,True,58017
80,71105,True,58017
81,553,True,40991
81,2178,True,40991
81,2369,True,40991
81,2386,True,40991
81,3636,True,40991
