nr,ZI-nummer,Artikelnaam,Verpakking status*,Preferent bij Zilveren Kruis,Preferent bij CZ,Preferent bij Menzis,Preferent bij VGZ,Preferent bij DSW,Preferent bij ONVZ,Laagste Prijs  Niet-beschikbaar,Opmerking van fabrikant,scrape_datum,bron_week
94,16064518,CELECOXIB SANDOZ CAPSULE 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
95,15775895,"CETURA TABLET 0,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
96,14217937,CHLOORTALIDON AUROBINDO TABLET 25MG,,False,False,False,False,False,False,,Beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
97,17393965,"CHLOORTALIDON GLENMARK TABLET 12,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
98,17056500,CHOLECALCIFEROL TEVA CAPSULE 25000IE,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
99,16872754,CINACALCET TEVA TABLET FILMOMHULD 30MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
100,16872762,CINACALCET TEVA TABLET FILMOMHULD 60MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
101,16867947,CINACALCET WILL PHARMA TABLET FILMOMHULD 60MG,,False,False,False,False,False,False,,beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
102,16271335,CINQAERO INFVLST CONC 10MG/ML FLACON 10ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
103,15907686,CIPROFLOXACINE ACCORD TABLET 750MG,,False,False,False,False,False,False,,>3 maanden,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
104,16738896,CITALOPRAM PCH TABLET OMHULD 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
105,17332303,CLINDAMYCINE KALCEKS INF/INJVLST 150MG/ML AMP 4ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
106,16053036,CLOPIDOGREL ACCORD TABLET FILMOMHULD 75MG,,False,False,False,False,False,False,,Week 6,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
107,17139988,CLOPIDOGREL XIROMED TABLET FILMOMHULD 75MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
108,16666690,CLOZAPINE ACCORD TABLET 50MG,,False,False,False,False,False,False,,Niet preferent; >3 maanden,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
